Size,Bath,Bed,City_Lisboa,City_Oeiras,City_Other,City_Sintra,good_prop
164,3,3,0,0,1,0,0
90,2,4,1,0,0,0,0
64,1,2,0,0,1,0,1
76,1,2,0,0,1,0,1
179,3,4,0,0,1,0,1
153,2,3,0,0,1,0,1
240,1,3,0,0,0,1,0
150,3,3,0,0,1,0,1
145,1,3,0,0,1,0,1
60,1,3,1,0,0,0,0
188,5,4,0,1,0,0,0
220,3,4,0,0,1,0,1
160,2,4,0,0,1,0,1
149,4,3,0,0,1,0,0
133,2,3,0,0,1,0,0
169,3,3,0,0,0,0,0
169,3,3,0,0,0,0,0
169,3,3,0,0,0,0,0
169,3,3,0,0,0,0,0
169,3,3,0,0,0,0,0
169,3,3,0,0,0,0,0
192,2,2,0,0,0,1,1
34,1,2,1,0,0,0,1
37,1,2,1,0,0,0,1
260,3,4,0,0,0,0,0
258,4,3,0,0,1,0,1
168,4,3,0,0,1,0,1
146,4,3,0,0,0,1,0
181,4,3,0,0,1,0,1
235,8,6,0,0,1,0,1
101,1,2,0,0,1,0,1
145,2,4,0,0,1,0,0
190,3,4,0,0,0,0,0
153,3,2,0,0,0,1,0
104,1,2,0,0,1,0,1
167,1,3,0,0,1,0,0
44,1,2,0,0,1,0,1
111,3,3,0,0,1,0,0
177,3,4,0,0,0,0,0
210,5,5,0,0,0,0,0
164,3,4,0,0,1,0,1
178,4,4,0,0,1,0,1
100,2,5,0,0,1,0,0
217,3,6,0,0,1,0,0
163,1,4,0,0,1,0,1
180,3,6,0,0,1,0,1
240,4,4,0,0,1,0,0
223,2,4,0,0,0,1,1
60,1,2,0,0,0,0,0
145,2,4,0,1,0,0,0
175,1,3,0,0,1,0,1
178,1,2,0,0,1,0,1
57,1,3,0,0,1,0,1
191,3,3,0,0,1,0,1
195,3,3,0,0,0,0,0
151,2,3,0,0,1,0,1
102,4,4,1,0,0,0,0
188,3,4,0,0,0,1,0
153,4,3,0,0,0,0,0
198,4,5,0,1,0,0,0
99,2,3,0,0,1,0,0
164,3,3,0,0,0,0,0
251,4,4,0,0,0,1,0
175,3,3,0,0,0,1,0
191,3,5,0,0,0,1,0
159,3,3,0,0,0,1,0
228,2,6,0,0,1,0,1
28,1,1,1,0,0,0,1
163,3,3,0,0,1,0,0
166,3,4,0,1,0,0,0
177,2,4,0,0,1,0,1
168,4,4,0,0,0,1,1
255,3,5,0,0,1,0,1
181,4,4,0,0,0,0,0
126,2,4,1,0,0,0,0
189,3,4,0,1,0,0,0
129,3,2,0,0,1,0,1
186,4,4,0,0,0,0,0
101,2,3,0,0,0,1,1
180,4,4,0,0,1,0,0
240,4,8,0,0,0,1,1
222,2,4,0,0,0,0,0
198,1,3,0,0,0,1,1
112,2,3,1,0,0,0,0
52,2,4,0,0,1,0,0
161,3,3,1,0,0,0,0
230,4,4,0,0,1,0,0
177,2,4,0,0,1,0,1
97,1,2,0,0,1,0,1
79,1,2,0,0,0,0,1
208,4,4,0,0,1,0,0
181,3,8,0,1,0,0,0
225,5,5,0,0,1,0,0
52,1,3,0,0,1,0,1
126,2,3,0,0,0,0,0
56,1,1,0,0,1,0,1
87,2,3,0,0,1,0,1
33,1,1,0,0,1,0,1
151,1,3,0,0,0,1,0
172,4,3,0,0,1,0,0
222,2,4,0,0,0,1,1
131,2,4,0,0,0,0,0
200,3,5,0,0,1,0,0
150,1,3,0,0,1,0,1
250,3,5,0,0,1,0,0
144,1,2,0,0,1,0,1
224,3,4,0,0,0,1,0
62,1,3,0,0,1,0,1
130,1,2,0,0,0,1,1
200,3,4,0,0,1,0,0
121,9,5,0,0,1,0,1
240,3,5,0,0,0,1,0
242,3,3,0,0,0,0,0
102,2,3,0,0,1,0,0
159,3,3,0,1,0,0,1
133,2,3,0,0,1,0,1
121,2,3,0,0,1,0,1
170,3,3,0,0,1,0,1
157,2,6,0,1,0,0,0
207,2,4,0,0,0,0,0
130,2,5,0,0,1,0,1
232,3,4,0,0,1,0,0
76,2,1,1,0,0,0,0
154,4,4,0,0,0,0,0
140,2,2,0,0,1,0,1
140,2,2,0,0,1,0,1
103,1,2,0,0,1,0,1
238,5,9,0,0,1,0,0
90,1,3,0,0,1,0,1
124,1,3,0,0,1,0,1
60,1,1,0,0,1,0,1
135,3,3,0,0,1,0,0
186,4,4,0,0,0,0,0
141,1,2,0,0,1,0,1
260,4,5,1,0,0,0,0
72,1,2,0,0,1,0,1
249,2,3,0,0,1,0,1
144,3,3,0,0,1,0,0
63,1,2,0,0,1,0,1
189,2,3,0,0,1,0,0
180,3,4,0,0,0,0,0
65,1,4,1,0,0,0,0
194,4,5,0,0,0,1,0
95,2,3,0,0,1,0,1
182,4,3,0,0,1,0,0
211,4,4,0,0,0,0,0
54,1,1,0,0,1,0,0
48,1,2,0,0,1,0,1
97,4,3,0,0,1,0,1
160,2,5,0,1,0,0,0
250,4,3,0,0,0,0,1
143,4,2,1,0,0,0,0
198,3,4,0,0,0,0,0
120,3,3,0,0,1,0,0
179,1,2,0,0,1,0,0
182,3,4,0,0,1,0,0
217,4,4,0,0,1,0,0
182,3,3,0,0,1,0,0
182,3,3,0,0,1,0,0
182,3,3,0,0,1,0,0
178,3,5,0,1,0,0,0
101,1,3,0,0,1,0,1
117,1,3,0,0,1,0,1
200,2,3,0,1,0,0,0
232,5,5,0,0,1,0,0
152,3,2,0,0,0,0,0
145,4,4,1,0,0,0,0
253,3,5,0,0,1,0,0
61,1,3,0,0,1,0,1
145,3,4,0,0,0,1,1
219,2,3,0,0,1,0,1
200,1,2,0,0,1,0,1
200,4,4,0,0,0,1,0
226,3,4,0,0,1,0,1
37,1,1,0,0,0,1,1
249,5,5,0,0,1,0,0
188,3,4,0,0,0,1,0
158,2,2,0,0,0,1,0
96,1,3,0,0,1,0,1
190,5,7,0,1,0,0,0
210,3,5,0,0,0,0,0
233,3,4,0,0,1,0,1
202,4,4,0,0,1,0,0
217,3,4,0,0,1,0,1
206,3,4,0,0,1,0,1
121,3,3,1,0,0,0,0
75,1,2,0,0,0,0,1
200,4,3,0,0,0,0,0
170,3,3,0,0,0,0,0
143,3,4,0,0,1,0,1
90,1,2,0,0,1,0,1
106,2,3,0,0,1,0,0
53,1,2,0,0,1,0,1
220,4,4,0,0,0,1,0
69,1,2,0,0,1,0,1
191,2,3,0,0,1,0,1
189,3,3,0,0,0,0,0
220,4,3,0,1,0,0,0
213,4,4,0,0,0,1,1
255,4,5,0,0,0,1,0
200,2,4,0,0,1,0,1
200,2,4,0,0,1,0,0
200,2,4,0,0,1,0,1
225,6,4,0,1,0,0,0
192,3,3,0,0,1,0,0
85,1,2,0,0,0,1,0
161,4,5,0,0,1,0,0
90,2,4,0,0,1,0,1
48,2,2,0,1,0,0,1
250,2,2,0,0,1,0,0
63,1,1,0,0,1,0,1
81,1,2,0,0,1,0,1
231,3,4,0,0,1,0,0
80,1,2,0,0,1,0,1
77,1,1,0,0,1,0,1
190,2,4,0,0,0,1,1
205,4,6,0,0,1,0,0
111,3,5,0,0,1,0,0
190,3,5,0,0,1,0,1
66,1,3,0,0,0,1,0
126,3,4,0,0,0,0,0
187,3,4,0,0,1,0,0
173,4,3,0,0,1,0,0
208,5,3,0,0,0,1,1
180,2,4,0,0,1,0,1
130,2,3,0,0,0,0,0
211,2,4,0,0,0,0,1
199,3,4,0,0,1,0,1
260,6,6,0,0,0,1,1
110,2,2,0,0,1,0,1
154,3,3,1,0,0,0,0
120,2,3,0,0,0,1,0
185,1,2,0,0,1,0,1
238,3,3,0,0,1,0,1
168,2,2,0,0,1,0,1
235,8,4,0,0,0,0,0
143,5,5,0,0,0,1,0
60,1,1,0,0,1,0,1
179,2,3,0,0,0,0,0
198,4,5,1,0,0,0,0
238,3,5,0,0,0,1,0
146,2,6,0,0,0,0,0
203,3,4,0,0,1,0,0
165,5,4,0,0,1,0,0
165,5,4,0,0,1,0,0
218,3,3,0,0,0,0,0
215,4,8,0,0,1,0,1
224,3,5,0,0,0,1,0
188,3,4,0,0,1,0,1
47,1,2,0,0,1,0,1
142,3,4,0,0,1,0,0
213,4,11,0,0,1,0,0
68,1,2,0,0,1,0,1
209,4,5,0,0,0,0,0
80,1,2,0,0,1,0,1
93,3,3,0,0,1,0,0
127,3,3,0,0,1,0,0
121,1,2,0,0,0,1,1
56,1,2,0,0,0,1,0
184,3,4,0,0,0,1,0
58,1,2,0,0,1,0,1
66,1,2,1,0,0,0,0
55,1,2,0,0,1,0,1
185,4,4,0,0,0,1,0
185,4,4,0,0,0,1,0
185,4,4,0,0,0,1,0
110,4,4,0,0,0,0,0
154,2,2,0,0,1,0,1
54,1,2,0,0,1,0,1
70,1,2,0,0,1,0,1
224,2,3,0,0,0,1,0
165,4,4,0,0,1,0,0
98,1,2,0,0,1,0,1
108,2,4,0,0,0,1,1
220,3,4,0,0,1,0,0
220,3,4,0,0,1,0,0
220,3,4,0,0,1,0,0
220,3,4,0,0,1,0,0
256,3,6,0,0,0,0,0
143,1,3,0,0,1,0,1
148,2,4,0,0,1,0,1
162,6,5,0,1,0,0,0
203,3,3,0,0,1,0,1
156,3,4,0,1,0,0,0
197,2,8,0,0,1,0,1
144,1,2,0,0,1,0,1
205,4,4,0,0,0,1,0
205,4,4,0,0,0,1,0
175,3,3,0,0,0,1,0
205,4,4,0,0,0,1,0
175,3,3,0,0,0,1,0
150,4,3,0,0,1,0,1
102,1,3,0,0,1,0,0
44,1,2,0,0,1,0,1
240,4,4,0,0,0,0,0
186,3,2,0,0,0,0,0
169,3,2,0,0,0,0,0
195,3,3,0,0,0,0,0
103,2,3,0,0,0,1,1
91,1,3,0,0,1,0,0
50,1,2,0,0,1,0,1
140,4,3,0,0,0,0,1
89,2,3,0,0,1,0,1
44,2,3,0,0,0,1,0
120,1,3,0,0,1,0,1
81,1,2,0,0,1,0,1
181,2,4,0,0,1,0,1
181,3,3,0,0,0,1,1
112,2,4,0,0,0,1,1
116,1,2,0,0,1,0,1
238,3,3,0,0,0,1,1
240,4,6,0,1,0,0,0
180,4,4,0,0,0,1,0
152,1,2,0,0,1,0,1
30,1,1,1,0,0,0,0
228,3,4,0,0,1,0,0
200,3,4,0,0,0,1,0
124,1,3,0,0,1,0,1
190,4,3,0,0,1,0,0
225,2,5,0,0,1,0,1
152,3,4,0,0,0,0,0
174,2,6,0,0,1,0,1
96,2,3,0,0,0,0,0
134,2,3,0,0,0,1,1
190,1,3,0,0,1,0,1
67,2,4,0,0,1,0,1
240,4,6,0,0,1,0,1
49,1,2,0,0,1,0,1
78,1,2,0,0,1,0,1
157,3,4,0,0,1,0,0
185,3,4,0,0,1,0,0
120,2,3,0,0,1,0,1
71,2,3,0,0,1,0,1
60,1,3,0,0,1,0,1
116,2,3,0,0,1,0,0
155,3,4,0,0,0,0,0
122,2,3,0,0,1,0,1
224,4,5,0,0,1,0,0
243,4,3,0,0,0,0,0
68,2,1,1,0,0,0,1
77,1,1,0,0,1,0,1
140,6,4,0,0,1,0,0
240,3,4,0,0,0,0,0
58,1,2,0,0,1,0,1
163,4,4,0,0,0,0,0
51,1,3,0,0,1,0,1
169,4,4,0,0,1,0,0
169,4,4,0,0,1,0,0
117,1,3,0,0,1,0,1
85,1,1,0,0,1,0,0
51,1,2,0,0,1,0,1
137,2,5,0,0,0,1,1
52,1,2,0,0,1,0,1
160,3,3,0,0,0,0,0
158,3,3,0,0,0,0,0
55,3,2,0,0,1,0,0
212,3,4,0,0,0,1,1
180,3,4,0,0,0,0,0
200,2,5,0,0,0,0,1
89,1,3,0,0,1,0,1
66,1,2,0,0,1,0,1
103,3,3,0,0,1,0,0
174,3,3,0,0,1,0,0
103,3,3,0,0,1,0,0
257,4,4,0,0,0,0,0
203,1,2,0,0,1,0,1
201,2,4,0,0,0,0,0
180,4,5,0,0,0,0,1
177,2,3,0,0,1,0,1
60,1,2,0,0,1,0,1
118,1,1,0,0,1,0,1
213,4,4,0,0,1,0,1
61,1,2,0,0,1,0,0
48,1,1,0,0,1,0,1
234,4,4,0,0,0,0,0
185,2,3,0,0,1,0,1
159,2,6,0,0,1,0,1
110,2,2,1,0,0,0,1
80,1,2,0,0,0,1,1
160,1,3,0,0,0,1,1
112,2,2,1,0,0,0,1
77,2,2,0,0,1,0,1
189,4,4,0,0,0,1,0
102,1,2,0,0,1,0,1
110,2,6,0,0,0,1,1
161,2,4,0,0,1,0,0
210,3,3,0,0,0,0,0
210,3,3,0,0,0,0,0
210,3,3,0,0,0,0,0
210,3,3,0,0,0,0,0
210,3,3,0,0,0,0,0
40,1,1,0,0,1,0,1
145,1,1,0,0,1,0,1
250,4,5,0,0,0,1,1
120,2,2,0,0,0,1,1
160,2,4,0,0,0,1,0
180,5,5,0,1,0,0,0
130,2,3,0,0,1,0,1
194,2,3,0,0,0,1,1
140,2,3,0,0,1,0,0
109,2,2,0,0,0,1,1
166,1,3,0,0,0,1,0
173,3,3,0,0,1,0,0
200,3,2,0,0,0,0,0
48,2,2,0,0,1,0,1
128,4,3,0,0,1,0,0
30,1,2,0,0,1,0,1
72,1,2,0,0,1,0,1
200,4,3,0,0,1,0,1
200,4,3,0,0,1,0,1
231,4,3,0,1,0,0,0
167,3,4,0,0,1,0,1
167,3,3,0,0,1,0,1
167,3,3,0,0,1,0,1
167,3,4,0,0,1,0,1
167,3,3,0,0,1,0,1
167,3,3,0,0,1,0,1
167,3,4,0,0,1,0,1
209,3,4,0,0,0,1,0
66,1,1,0,0,0,1,1
50,1,1,0,0,1,0,0
208,4,6,0,0,0,0,0
100,3,3,0,0,1,0,0
65,2,4,0,0,0,1,1
72,1,2,0,0,1,0,1
103,1,2,0,0,1,0,1
214,3,3,0,0,0,1,0
201,7,5,0,0,0,1,0
70,1,1,0,0,1,0,1
120,1,3,0,0,1,0,1
163,2,3,0,0,1,0,0
66,1,3,0,0,1,0,1
41,2,3,0,0,1,0,1
184,3,3,0,0,1,0,0
184,3,3,0,0,1,0,0
30,1,2,1,0,0,0,1
69,2,2,0,0,1,0,1
52,1,1,0,0,1,0,1
63,1,1,0,0,1,0,1
262,2,6,0,0,1,0,0
108,1,2,0,0,1,0,0
112,1,3,0,0,1,0,1
184,3,4,0,0,0,0,0
168,4,3,1,0,0,0,1
108,4,4,0,0,1,0,1
89,1,2,0,0,1,0,0
190,2,4,0,0,1,0,0
